Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,9.79,9.9,9.68,9.7,9.7,18748700
1/5/2010,9.71,9.9,9.68,9.71,9.71,22145700
1/6/2010,9.68,9.76,9.55,9.57,9.57,18643400
1/7/2010,9.51,9.55,9.18,9.47,9.47,26806800
1/8/2010,9.37,9.47,9.29,9.43,9.43,13752800
1/11/2010,9.38,9.44,9.08,9.14,9.14,23700100
1/12/2010,8.89,8.92,8.52,8.65,8.65,33387100
1/13/2010,8.71,9.2,8.55,9.15,9.15,32741900
1/14/2010,9.18,9.26,8.92,9,9,22556600
1/15/2010,9.13,9.19,8.8,8.84,8.84,34336600
1/19/2010,8.84,9.21,8.84,9.01,9.01,24866200
1/20/2010,8.98,9,8.76,8.87,8.87,22813600
1/21/2010,9.01,9.1,8.77,8.99,8.99,37888700
1/22/2010,8.55,8.56,7.82,7.88,7.88,69136400
1/25/2010,8.01,8.14,7.93,8.07,8.07,20560000
1/26/2010,8.03,8.19,7.93,8.09,8.09,20946600
1/27/2010,8.03,8.22,7.91,8.19,8.19,26832700
1/28/2010,8.24,8.25,7.71,7.88,7.88,32084100
1/29/2010,8.01,8.1,7.3,7.46,7.46,37457700
2/1/2010,7.61,7.98,7.53,7.98,7.98,25476400
2/2/2010,7.74,7.96,7.72,7.91,7.91,21110900
2/3/2010,7.83,7.96,7.76,7.81,7.81,14521900
2/4/2010,7.64,7.65,7.1,7.19,7.19,33172200
2/5/2010,7.13,7.37,6.98,7.35,7.35,28808300
2/8/2010,7.38,7.62,7.28,7.42,7.42,24304200
2/9/2010,7.59,7.64,7.42,7.54,7.54,19978100
2/10/2010,7.47,7.71,7.45,7.64,7.64,17269400
2/11/2010,7.67,7.9,7.6,7.84,7.84,14973100
2/12/2010,7.71,8,7.65,7.87,7.87,21788000
2/16/2010,7.91,8.14,7.87,8.06,8.06,13579100
2/17/2010,8.11,8.2,7.94,8.03,8.03,12019200
2/18/2010,7.98,8.08,7.87,7.95,7.95,14677000
2/19/2010,7.82,7.99,7.82,7.93,7.93,8107300
2/22/2010,7.96,8,7.83,7.9,7.9,9708700
2/23/2010,7.91,7.94,7.69,7.79,7.79,15566700
2/24/2010,7.78,8.1,7.77,8.05,8.05,16543800
2/25/2010,7.88,7.89,7.62,7.89,7.89,20955600
2/26/2010,7.83,7.96,7.68,7.91,7.91,17085200
3/1/2010,7.94,8.25,7.94,8.21,8.21,14856000
3/2/2010,8.33,8.6,8.29,8.38,8.38,25506100
3/3/2010,8.44,8.55,8.28,8.35,8.35,14260800
3/4/2010,8.37,8.5,8.28,8.5,8.5,14448000
3/5/2010,8.55,8.7,8.48,8.61,8.61,14826400
3/8/2010,8.66,8.69,8.51,8.64,8.64,12760000
3/9/2010,8.5,8.69,8.43,8.63,8.63,17664900
3/10/2010,8.6,9.09,8.59,8.92,8.92,23426900
3/11/2010,8.91,9,8.74,8.95,8.95,15977800
3/12/2010,9.04,9.04,8.9,8.93,8.93,12802500
3/15/2010,8.88,8.95,8.8,8.92,8.92,11428900
3/16/2010,8.95,9.42,8.94,9.4,9.4,25356300
3/17/2010,9.47,9.74,9.42,9.67,9.67,23574800
3/18/2010,9.62,9.66,9.26,9.39,9.39,17772300
3/19/2010,9.11,9.41,9.1,9.11,9.11,15938000
3/22/2010,8.91,9.32,8.79,9.31,9.31,15101100
3/23/2010,9.34,9.49,9.26,9.45,9.45,10623200
3/24/2010,9.38,9.38,9.2,9.23,9.23,12096100
3/25/2010,9.35,9.44,9.02,9.03,9.03,15824100
3/26/2010,9.11,9.19,8.91,9.02,9.02,12158100
3/29/2010,9.08,9.2,9.06,9.11,9.11,9621900
3/30/2010,9.21,9.28,9.09,9.27,9.27,13451600
3/31/2010,9.15,9.44,9.13,9.27,9.27,12850100
4/1/2010,9.34,9.49,9.22,9.37,9.37,11757400
4/5/2010,9.47,9.54,9.42,9.53,9.53,10467800
4/6/2010,9.44,9.49,9.18,9.35,9.35,18738400
4/7/2010,9.38,9.83,9.25,9.66,9.66,29125500
4/8/2010,9.63,9.63,9.33,9.42,9.42,21494000
4/9/2010,9.49,9.58,9.28,9.3,9.3,24207600
4/12/2010,9.37,9.53,9.35,9.42,9.42,16578500
4/13/2010,9.42,9.59,9.35,9.56,9.56,15125200
4/14/2010,9.82,9.97,9.71,9.89,9.89,29201400
4/15/2010,9.97,10.24,9.9,10.16,10.16,55096500
4/16/2010,9.78,9.9,9.37,9.81,9.81,67757600
4/19/2010,9.73,9.84,9.29,9.58,9.58,27868200
4/20/2010,9.74,9.81,9.63,9.77,9.77,21244700
4/21/2010,9.8,9.91,9.49,9.78,9.78,28651400
4/22/2010,9.57,9.9,9.45,9.86,9.86,22389600
4/23/2010,9.81,9.85,9.61,9.76,9.76,18841700
4/26/2010,9.8,10.15,9.7,9.97,9.97,24335500
4/27/2010,9.84,10.06,9.53,9.58,9.58,27169000
4/28/2010,9.69,9.8,9.35,9.55,9.55,23028300
4/29/2010,9.7,9.78,9.59,9.72,9.72,14350400
4/30/2010,9.72,9.72,9.06,9.07,9.07,37974900
5/3/2010,9.18,9.38,9.02,9.29,9.29,27504700
5/4/2010,9.08,9.08,8.54,8.68,8.68,46482500
5/5/2010,8.44,8.88,8.35,8.58,8.58,36757300
5/6/2010,8.58,8.72,7.81,8.27,8.27,44875400
5/7/2010,8.3,8.67,7.92,8.38,8.38,48469500
5/10/2010,8.92,9.03,8.31,8.99,8.99,34695700
5/11/2010,8.85,9.29,8.75,9.07,9.07,41062100
5/12/2010,9.2,9.58,9.15,9.49,9.49,33567100
5/13/2010,9.52,9.78,9.32,9.42,9.42,33222600
5/14/2010,9.24,9.31,8.57,8.8,8.8,59018500
5/17/2010,8.75,8.87,8.47,8.85,8.85,27721900
5/18/2010,8.96,9.01,8.37,8.42,8.42,29716300
5/19/2010,8.23,8.63,8.2,8.47,8.47,29864100
5/20/2010,8.27,8.37,8,8.09,8.09,37502700
5/21/2010,7.87,8.55,7.75,8.4,8.4,39732500
5/24/2010,8.32,8.56,8.07,8.09,8.09,24504000
5/25/2010,7.75,8.15,7.68,8.15,8.15,30410500
5/26/2010,8.39,8.59,8.18,8.22,8.22,37479100
5/27/2010,8.45,8.8,8.4,8.8,8.8,24221900
5/28/2010,8.84,8.87,8.45,8.57,8.57,28073700
6/1/2010,8.43,8.43,8.14,8.14,8.14,31201200
6/2/2010,8.26,8.54,8.11,8.54,8.54,24157900
6/3/2010,8.59,8.73,8.36,8.69,8.69,22533800
6/4/2010,8.42,8.67,8.01,8.11,8.11,37657500
